	author_title	isbn10	isbn13
259	 Christopher Reich.**NUMBERED ACCOUNT		9780786215058
260	 Chuck Barris.**YOU AND ME BABE		9780061203428
261	 Chuck Palahniuk.**CHOKE		9781400032709
262	 Chuck Palahniuk.**DIARY		9788852039683
263	 Chuck Palahniuk.**HAUNTED		9780739302866
264	 Chuck Palahniuk.**LULLABY		9781402524974
265	 Chuck Palahniuk.**RANT		9785170591824
266	 Chuck Palahniuk.**SNUFF		9781299056589
267	 Clare Francis.**NIGHT SKY		9780330466103
268	 Clive Barker.**THE DAMNATION GAME		9780517165782
269	 Clive Barker.**THE GREAT AND SECRET SHOW		9780006176954
270	 Clive Cussler and Dirk Cussler.**BLACK WIND		9788830439658
271	 Clive Cussler and Dirk Cussler.**TREASURE OF KHAN		9780399153693
272	 Clive Cussler with Paul Kemprecos.**FIRE ICE		9782253116189
273	 Clive Cussler with Paul Kemprecos.**LOST CITY		9781429527408
274	 Clive Cussler with Paul Kemprecos.**POLAR SHIFT		9781429527941
275	 Clive Cussler with Paul Kemprecos.**THE NAVIGATOR		9780143143420
276	 Clive Cussler.**ATLANTIS FOUND		9788372453815
277	 Clive Cussler.**CYCLOPS		9780671703004
278	 Clive Cussler.**DEEP SIX		9782246346012
279	 Clive Cussler.**DRAGON		9788497933650
280	 Clive Cussler.**FLOOD TIDE		9780671577193
281	 Clive Cussler.**INCA GOLD		9788484508595
282	 Clive Cussler.**NIGHT PROBE!		9780340256565
283	 Clive Cussler.**RAISE THE TITANIC!		9780670589333
284	 Clive Cussler.**SHOCK WAVE		9781471127144
285	 Clive Cussler.**THE CHASE		9781429566476
286	 Clive Cussler.**TREASURE		9785556068445
287	 Clive Cussler.**TROJAN ODYSSEY		9780141016948
288	 Clive Cussler.**VALHALLA RISING		9780786238187
289	 Colleen McCullough.**A CREED FOR THE THIRD MILLENNIUM		9788755512344
290	 Colleen McCullough.**AN INDECENT OBSESSION		9782277215349
291	 Colleen McCullough.**MORGAN'S RUN		9780712680462
292	 Colleen McCullough.**THE FIRST MAN IN ROME		9782809814927
