	asin	author	author_title	isbn10	isbn13	list_date	num_wks_on_list	rank_last_wk	rank_this_wk	title
4089		 Dick Francis.	 Dick Francis.**HOT MONEY		9780141929613	1988-03-20	4	3	3	HOT MONEY
4090		 Arthur C. Clarke.	 Arthur C. Clarke.**2061: Odyssey Three		9780246133236	1988-03-20	18	10	11	2061: Odyssey Three
4091		 Rosamunde Pilcher.	 Rosamunde Pilcher.**THE SHELL SEEKERS		9789635488841	1988-03-20	7	8	6	THE SHELL SEEKERS
4092		 John Updike.	 John Updike.**S.		9781299064683	1988-03-20	2	13	12	S.
4093		 Stephen King.	 Stephen King.**THE TOMMYKNOCKERS		9781501143847	1988-03-20	19	6	5	THE TOMMYKNOCKERS
4094		 Tom Wolfe.	 Tom Wolfe.**THE BONFIRE OF THE VANITIES		9780553381344	1988-03-20	22	2	2	THE BONFIRE OF THE VANITIES
4095		 Dean R. Koontz.	 Dean R. Koontz.**LIGHTNING		9783453052697	1988-03-20	11	15	13	LIGHTNING
4096		 Danielle Steel.	 Danielle Steel.**KALEIDOSCOPE		9788878245297	1988-03-20	24	11	10	KALEIDOSCOPE
4097		 Taylor Caldwell.	 Taylor Caldwell.**CEREMONY OF THE INNOCENT		9780449203323	1977-02-13	11	7	8	CEREMONY OF THE INNOCENT
4098		 Sterling Hayden.	 Sterling Hayden.**VOYAGE		9780380017805	1977-02-13	4	10	9	VOYAGE
4099		 Jack Higgins.	 Jack Higgins.**STORM WARNING		9780671727765	1977-02-13	21	5	6	STORM WARNING
4100		 Joyce Haber.	 Joyce Haber.**THE USERS		9780440092209	1977-02-13	9	6	5	THE USERS
4101		 John Gardner.	 John Gardner.**OCTOBER LIGHT		9780394740584	1977-02-13	4	9	10	OCTOBER LIGHT
4102		 Agatha Christie.	 Agatha Christie.**SLEEPING MURDER		9781444802337	1977-02-13	23	4	4	SLEEPING MURDER
4103		 Paul E. Erdman.	 Paul E. Erdman.**THE CRASH OF '79		9780425109885	1977-02-13	11	3	3	THE CRASH OF '79
4104		 Clive Cussler.	 Clive Cussler.**RAISE THE TITANIC!		9780670589333	1977-02-13	12	2	2	RAISE THE TITANIC!
4105		 Kurt Vonnegut.	 Kurt Vonnegut.**SLAPSTICK		9780440180098	1977-02-13	7	23	7	SLAPSTICK
4106		 Leon Uris.	 Leon Uris.**TRINITY		9780553258462	1977-02-13	49	1	1	TRINITY
4107		 Lawrence Sanders.	 Lawrence Sanders.**THE SEVENTH COMMANDMENT		9781306624466	1991-04-21	2	7	1	THE SEVENTH COMMANDMENT
4108		 Sidney Sheldon.	 Sidney Sheldon.**A STRANGER IN THE MIRROR		9780446612425	1976-07-25	15	7	8	A STRANGER IN THE MIRROR
4109		 Thomas Tryon.	 Thomas Tryon.**CROWNED HEADS		9780340213698	1976-07-25	5	5	5	CROWNED HEADS
4110		 Peter Benchley.	 Peter Benchley.**THE DEEP		9780553104226	1976-07-25	11	3	2	THE DEEP
